ID,količina,merska enota,sestavina
21331,1,,čebula
21331,200,g,slanina
21331,800,g,svinjski kare
21332,1,,jajčevec
21332,2,,paradižnik 
21332,2,zavojček,mocarela 
21333,2,žlica,čajno maslo
21333,2,žlica,oljčno olje
21333,1,,cvetača 
21333,125,ml,jušna osnova iz brezmesne jušne kocke 
21334,1,,čebula 
21334,1,strok,česen 
21334,2,,kajzerica
21334,125,ml,polnomastno mleko 
21334,500,g,mešano mleto meso
21334,2,,jajce 
21334,1,žlica,gorčica 
21334,2,žlica,pšenična moka 
21334,3,žlica,krušne drobtine 
21334,250,g,pšenična moka 
21334,2,žlica,čajno maslo 
21334,80,ml,mlačna voda
21334,2,,paprika
21334,1,,bučka
21334,1,,čebula
21334,1,,paradižnik 
21334,3,žlica,pasiran paradižnik
21334,2,žlica,kisla smetana 
21334,100,g,mozzarella
21335,2,,avokado
21335,1,,čebula
21335,1,,paradižnik 
21335,10,g,koriandra sok 
21335,1,,limeta 
21335,600,g,piščančji file
21335,70,g,gavdina 
21335,1,pločevinka,koruza v zrnju 
21335,2,,jajce
21335,100,g,pšenična moka
21335,2,žlica,čajno maslo
21335,50,g,sladkor
21335,1,,rdeč čili 
21335,50,g,slana pokovka za mikrovalovno pečico 
21336,1,,čebula 
21336,1,,korenček
21336,100,g,brokoli
21336,20,g,maslo
21336,500,g,kuskus
21336,200,ml,jušna osnova
21336,2,zavoj,file norveškega lososa
21336,300,g,poper 
21336,1,,limona 
21336,1,,bananin list 
21337,400,g,svinjski meso
21337,2,,pečenica 
21337,12,,češnjev paradižnik 
21337,100,ml,oljčno olje 
21337,1,žlička,peteršilj
21337,4,,nabodalo 
21338,2,,zrezek iz goveje bržole 
21338,2,,bageta 
21338,50,g,zeliščnega 
21338,8,rezina,sir
21338,2,,paradižnik 
21338,2,,čebula
21338,4,žlica,omaka za jedi z žara 
21339,4,,postrv
21339,2,strok,česn 
21339,2,žlička,peteršilj 
21339,4,žlica,oljčno olje 
21339,1,,limona 
21339,4,,lovorjev list 
21339,4,,krompir 
21339,1,,rdeča paprika 
21339,1,,rumena paprika 
21339,4,,češnjev paradižnik 
21339,1,žlica,provansalska zelišča 
21339,4,,nabodalo
21340,100,g,indijski oreščki
21340,2,kos,avokado
21340,1,,mangov sok 
21340,1,,limeta 
21340,1,,mozzarella
21340,100,g,češnjevi paradižniki
21340,2,žlica,oljčno olje
21341,1,kg,krompir
21341,3,žlica,pšenična moka
21341,2,,rdeča paprika 
21341,2,,čebula 
21341,1,strok,česn 
21341,2,žlica,mleta rdeča paprika 
21341,1,žlica,paradižnikova mezga
21341,125,ml,refošek
21341,125,ml,rižev napitek
21342,150,g,cvetača 
21342,2,,čebula 
21342,120,g,rdeča paprika 
21342,160,,g,iž
21342,4,,zelena paprika 
21342,100,g,sir
21342,2,,jajce
21342,20,g,korenje 
21342,20,g,zelenjava
21342,80,g,paradižnikova mezga 
21342,250,ml,jušna osnova 
21343,800,g,buča hokaido 
21343,1,vejica,rožmarin
21344,4,žlica,lanenova semena
21344,12,žlica,voda 
21344,80,g,gladka pšenična moka
21344,1,žlička,pecilni prašek 
21344,150,ml,sojin napitek 
21344,1,žlica,rozine
21344,2,žlica,sladkor v prahu 
21345,50,ml,oljčno olje 
21345,100,ml,sojina omaka  
21345,1,strok,česn
21345,1,,bučka 
21345,1,,rumena paprika 
21345,1,,zelena paprika 
21345,400,g,tofu
21345,8,,nabodalo
21346,600,g,piščančji file
21346,400,g,jurčki
21346,5,l,voda
21346,25,kg,perutninske kosti 
21346,100,g,korenje 
21346,50,g,zelena 
21346,50,g,por 
21346,40,g,čebula 
21346,75,g,peteršilj
21346,1,žlička,maslo
21346,1,kg,krompir 
21346,150,g,maslo 
21346,50,ml,polnomastno mleko 
21348,4,,jajce 
21348,1,,skodelica,sladkor
21348,1,,vanilin sladkor 
